budget,goal,lat,lng,side,chain,order_or_title,price_with_tax,protein_g,calories,distance_miles
5.0,gain_muscle,29.4241,-98.4936,restaurant,McDonald's,Double hamburger — ketchup mustard only,4.97,24,390,0.4
5.0,gain_muscle,29.4241,-98.4936,grocery,H-E-B,Chicken Rice Meal Prep — breast + rice + salsa,2.38,40,450,3.3
5.0,lose_weight,29.4241,-98.4936,restaurant,Torchy's Tacos,"Soft taco — grilled chicken, corn, pico only",4.6,22,280,1.5
5.0,lose_weight,29.4241,-98.4936,grocery,H-E-B,Chicken Salad Lite — canned chicken + yogurt + celery,2.2,32,290,3.3
5.0,maintain,29.4241,-98.4936,restaurant,McDonald's,Double hamburger — ketchup mustard only,4.97,24,390,0.4
5.0,maintain,29.4241,-98.4936,grocery,H-E-B,Chicken Rice Meal Prep — breast + rice + salsa,2.38,40,450,3.3
8.0,gain_muscle,29.4241,-98.4936,restaurant,Torchy's Tacos,Mr. Orange + side beans,7.58,34,540,1.5
8.0,gain_muscle,29.4241,-98.4936,grocery,H-E-B,Chicken Rice Meal Prep — breast + rice + salsa,2.38,40,450,3.3
8.0,lose_weight,29.4241,-98.4936,restaurant,Whataburger,"Grilled chicken melt — mustard only, no cheese",7.57,34,380,1.5
8.0,lose_weight,29.4241,-98.4936,grocery,H-E-B,Chicken Salad Lite — canned chicken + yogurt + celery,2.2,32,290,3.3
8.0,maintain,29.4241,-98.4936,restaurant,Taco Cabana,"2 grilled chicken soft tacos — corn, no cheese",5.94,30,380,1.3
8.0,maintain,29.4241,-98.4936,grocery,H-E-B,Chicken Rice Meal Prep — breast + rice + salsa,2.38,40,450,3.3
12.0,gain_muscle,29.4241,-98.4936,restaurant,Chipotle,"Chicken bowl — white rice, pinto, fajita, salsa, NO cheese/sour cream",10.61,42,520,0.6
12.0,gain_muscle,29.4241,-98.4936,grocery,H-E-B,Chicken Rice Meal Prep — breast + rice + salsa,2.38,40,450,3.3
12.0,lose_weight,29.4241,-98.4936,restaurant,Chick-fil-A,Grilled nuggets 12-ct — no sauce,9.73,38,200,1.6
12.0,lose_weight,29.4241,-98.4936,grocery,H-E-B,Chicken Salad Lite — canned chicken + yogurt + celery,2.2,32,290,3.3
12.0,maintain,29.4241,-98.4936,restaurant,Chipotle,"Chicken bowl — white rice, pinto, fajita, salsa, NO cheese/sour cream",10.61,42,520,0.6
12.0,maintain,29.4241,-98.4936,grocery,H-E-B,Chicken Rice Meal Prep — breast + rice + salsa,2.38,40,450,3.3
5.0,gain_muscle,29.4678,-98.4634,restaurant,McDonald's,Double hamburger — ketchup mustard only,4.97,24,390,2.2
5.0,gain_muscle,29.4678,-98.4634,grocery,H-E-B,Chicken Rice Meal Prep — breast + rice + salsa,2.38,40,450,1.6
5.0,lose_weight,29.4678,-98.4634,restaurant,Torchy's Tacos,"Soft taco — grilled chicken, corn, pico only",4.6,22,280,2.0
5.0,lose_weight,29.4678,-98.4634,grocery,H-E-B,Chicken Salad Lite — canned chicken + yogurt + celery,2.2,32,290,1.6
5.0,maintain,29.4678,-98.4634,restaurant,McDonald's,Double hamburger — ketchup mustard only,4.97,24,390,2.2
5.0,maintain,29.4678,-98.4634,grocery,H-E-B,Chicken Rice Meal Prep — breast + rice + salsa,2.38,40,450,1.6
8.0,gain_muscle,29.4678,-98.4634,restaurant,Torchy's Tacos,Mr. Orange + side beans,7.58,34,540,2.0
8.0,gain_muscle,29.4678,-98.4634,grocery,H-E-B,Chicken Rice Meal Prep — breast + rice + salsa,2.38,40,450,1.6
8.0,lose_weight,29.4678,-98.4634,restaurant,Whataburger,"Grilled chicken melt — mustard only, no cheese",7.57,34,380,1.9
8.0,lose_weight,29.4678,-98.4634,grocery,H-E-B,Chicken Salad Lite — canned chicken + yogurt + celery,2.2,32,290,1.6
8.0,maintain,29.4678,-98.4634,restaurant,Torchy's Tacos,Mr. Orange + side beans,7.58,34,540,2.0
8.0,maintain,29.4678,-98.4634,grocery,H-E-B,Chicken Rice Meal Prep — breast + rice + salsa,2.38,40,450,1.6
12.0,gain_muscle,29.4678,-98.4634,restaurant,Chipotle,"Chicken bowl — white rice, pinto, fajita, salsa, NO cheese/sour cream",10.61,42,520,0.0
12.0,gain_muscle,29.4678,-98.4634,grocery,H-E-B,Chicken Rice Meal Prep — breast + rice + salsa,2.38,40,450,1.6
12.0,lose_weight,29.4678,-98.4634,restaurant,Chipotle,"Chicken salad — lettuce, black beans, fajita, salsa, NO rice",10.61,38,340,0.0
12.0,lose_weight,29.4678,-98.4634,grocery,H-E-B,Chicken Salad Lite — canned chicken + yogurt + celery,2.2,32,290,1.6
12.0,maintain,29.4678,-98.4634,restaurant,Chipotle,"Chicken bowl — white rice, pinto, fajita, salsa, NO cheese/sour cream",10.61,42,520,0.0
12.0,maintain,29.4678,-98.4634,grocery,H-E-B,Chicken Rice Meal Prep — breast + rice + salsa,2.38,40,450,1.6
